,word,freq,map
324,himbauan,893,imbauan
325,1trenggalek,892,
326,dewidrupadi,886,
327,mudah,883,
328,sedih,879,
329,mahasiswa,877,
330,baju,877,
331,dirumahajalebihbaik,876,
332,rupa,875,
333,suka,873,
334,kumpul,868,
335,kepala,867,
336,kirim,862,
337,wkwk,859,no
338,dasar,857,
339,barat,856,
340,mohon,855,
341,india,850,
342,konser,849,
343,serang,845,
344,rawat,843,
345,sesuai,836,
346,eh,835,no
347,sulit,834,
348,jangkit,834,
349,jepang,830,
350,tolak,830,
351,bangun,829,
352,mah,824,no
353,tuhan,821,
354,muncul,818,
355,penuh,818,
356,sayang,818,
357,bandung,817,
358,manfaat,815,
359,konfirmasi,813,
360,capai,810,
361,uji,810,
362,tubuh,810,
363,polres,806,
364,kelar,805,
365,periksa,803,
366,imbau,801,
367,ancam,801,
368,aceh,801,
369,pandemic,800,pandemik
370,ketua,799,
371,tanggulang,798,
372,libur,798,
373,paham,797,
374,gelar,791,
375,tunggu,784,
376,ikan,784,
377,isi,782,
378,habis,781,
379,tanggal,779,
380,ajak,779,
381,bayar,776,
382,indo,774,indonesia
383,italia,773,
384,rawan,766,
385,abis,765,habis
386,timur,764,
387,the,763,no
388,lo,761,no
389,hubung,760,
390,aamiin,757,amin
391,duit,755,
392,kemarin,752,
393,cek,752,
394,jabat,748,
395,belanja,746,
396,surabaya,745,
397,amerika,745,
398,amerika,745,
399,luas,744,
400,gaji,741,
401,ngga,741,no
402,air,740,
403,korona,737,corona
404,urus,736,
405,simak,733,
406,arab,731,
407,pd,730,no
408,aniesbaswedan,729,
409,status,728,
410,global,728,
411,panik,726,
412,wa,724,no
413,rencana,724,
414,efek,723,
415,anies,716,
416,news,716,
417,raya,714,
418,aksi,713,
419,alami,712,
420,camat,710,
421,agama,710,
422,skrg,710,no
423,awas,709,
424,bangkit,706,
425,saudi,704,
426,alas,702,
427,kumparannews,701,
428,ubah,700,
429,hukum,698,
430,cepet,697,cepat
431,otak,697,
432,pantau,693,
433,bandara,693,
434,down,692,
435,bentuk,691,
436,bukti,690,
437,program,688,
438,mulyanadipura,688,
439,gussur,688,
440,rang,687,perang
441,bahas,686,
442,cinta,685,
443,hoax,684,
444,disiplin,682,
445,patuhiprotokolcovid,682,
446,duga,681,
447,bs,681,no
448,tekan,679,
449,perang,679,
450,catat,678,
451,trus,678,no
452,mandiri,677,
453,ni,677,no
454,jumat,676,
455,gratis,676,
456,kemenkesri,676,
457,foto,675,
458,temen,675,teman
459,tindak,674,
460,miskin,674,
461,anggar,673,
462,id,673,no
463,tetep,670,no
464,sahabat,668,
465,sm,667,no
466,viral,664,
467,batal,663,
468,bahan,663,
469,kangen,662,
470,new,660,
471,kantor,658,
472,gera,657,gerak
473,bumi,657,
474,merah,657,
475,rt,657,
476,polsek,654,
477,aktivitas,652,
478,pesan,650,
479,teliti,649,
480,kak,648,no
481,blm,647,no
482,anggap,642,
483,mall,638,mal
484,paksa,637,
485,sedia,633,
486,bansos,632,
487,bersamacegahcorona,632,
488,kab,631,kabupaten
489,malang,627,
490,bareng,626,
491,ketemu,626,temu
492,sumber,625,
493,mending,624,
494,besok,624,
495,fasilitas,623,
496,lawancovid,620,
497,hadir,619,
498,dagang,616,
499,islam,615,
500,bicara,615,
501,cerita,614,
502,sobat,611,
503,sy,611,no
504,pulau,609,
505,ilang,608,hilang
506,no,606,no
507,wajib,604,
508,terbang,600,
509,ringan,599,
510,lock,599,
511,bingung,599,
512,bagus,598,
513,sinergi,596,
514,kenal,591,
515,doang,591,no
516,duduk,590,
517,enak,589,
518,malaysia,589,
519,stayhome,588,
520,nilai,588,
